datasets/knowledge/aircraft/Aircraft_train.csv
Does the union of sliced domains equal the original domains? True
Number of slices: 4096
whole 	 sliced 	 expr
1.0 	 0.0 	 sqrt(x0^(3)) + sin(x0^(-2)) + cos(x0)
1.0 	 0.0 	 sqrt.abs(x0^(-1)) + tan(x0)
1.0 	 0.0 	 sin(x0^(2)) + cos(x0) + tanh(x5^(-1))
1.0 	 0.0 	 sqrt(x0^(-3)) + tan(x0)
1.0 	 0.0 	 cos(x0^(-3)) + sqrt(x0^(3))
1.0 	 0.0 	 log(x0^(-3)) + log(x2) + id(x0^(2))
1.0 	 0.0 	 tanh(x0^(-2)) + sin(x0) + tanh(x0^(2))
1.0 	 0.0 	 sqrt(x0^(3)) + cos(x0^(-3))
1.0 	 0.0 	 log(x0^(3)) + tan(x0)
1.0 	 0.0 	 sqrt.abs(x0^(2)) + tan(x0) + tanh(x2^(-2))
1.0 	 0.0 	 id(x0^(2)) + sqrt.abs(x0^(3))
1.0 	 0.0 	 id(x1^(3)) + sin(x0^(-1)) + exp(x0^(3))
1.0 	 0.0 	 tan(x0^(2)) + cos(x0^(3))
1.0 	 0.0 	 log(x0^(3)) + cos(x0)
1.0 	 0.0 	 tanh(x0^(-2)) + id(x1^(3)) + sqrt(x0^(3))
1.0 	 0.0 	 sin(x0^(2)) + sin(x0^(-1)) + sqrt.abs(x2^(-2))
1.0 	 0.0 	 sqrt.abs(x0^(2)) + tanh(x0^(-2)) + tanh(x0^(-1))
1.0 	 0.0 	 tanh(x0^(-2)) + tanh(x0^(3)) + tanh(x4^(3))
1.0 	 0.0 	 cos(x0^(3)) + tanh(x0) + sin(x0^(-2))
1.0 	 0.0 	 log(x0^(3)) + cos(x0) + id(x2^(-2))
1.0 	 0.0 	 cos(x0) + exp(x2) + log(x0^(3))
1.0 	 0.0 	 sin(x1) + sqrt(x1^(3))
1.0 	 0.0 	 sin(x0^(3)) + tanh(x0^(2)) + sqrt(x0)
1.0 	 0.0 	 cos(x0) + log(x0^(-2))
1.0 	 0.0 	 sin(x0^(2)) + cos(x0)
1.0 	 0.0 	 tanh(x0^(2)) + sqrt(x2^(-3)) + sqrt(x0)
1.0 	 0.0 	 sqrt(x0) + sin(x0^(2)) + tanh(x0^(-2))
1.0 	 0.0 	 sin(x0^(-2)) + tanh(x0^(3)) + exp(x0^(-1))
1.0 	 0.0 	 sin(x0^(2)) + sqrt(x0^(-1)) + log(x2^(2))
1.0 	 0.0 	 exp(x0^(3)) + tan(x0^(2))
2.0 	 0.0 	 sin(x0^(3)) + exp(x0^(2))
1.0 	 0.0 	 sqrt.abs(x5^(2)) + sin(x0^(3)) + cos(x0^(-1))
1.0 	 0.0 	 exp(x2^(3)) + tan(x0) + sqrt(x0^(-3))
1.0 	 0.0 	 sqrt(x0) + tanh(x0^(-1)) + tanh(x0^(3))
1.0 	 0.0 	 cos(x0^(-3)) + sqrt(x0) + id(x1^(3))
1.0 	 0.0 	 sqrt(x0^(-3)) + cos(x0) + tanh(x2^(-2))
1.0 	 0.0 	 sin(x0^(2)) + sqrt.abs(x0)
1.0 	 0.0 	 sin(x0^(2)) + cos(x0^(-2))
1.0 	 0.0 	 tanh(x0^(-2)) + sin(x0^(2)) + sqrt(x0)
1.0 	 0.0 	 log(x0^(2)) + exp(x0)
1.0 	 0.0 	 sqrt.abs(x0^(-1)) + tan(x0)
1.0 	 0.0 	 sqrt.abs(x0) + tanh(x0^(-1)) + id(x0^(2))
1.0 	 0.0 	 tanh(x0^(-1)) + tanh(x0^(-2)) + id(x3^(3))
1.0 	 0.0 	 sin(x0^(2)) + id(x0^(-2))
1.0 	 0.0 	 sin(x0^(-2)) + sqrt(x0^(-1)) + sin(x0^(3))
1.0 	 0.0 	 cos(x0^(2)) + tanh(x0^(-1))
2.0 	 0.0 	 exp(x0) + sqrt(x0^(2))
Ratio:710/9871 = 7.192786951676629e-2
Ratio (feas x infeas):76/9871 = 7.699321244048222e-3
